,genre,artist,song,lyrics
0,Christian,Glory Revealed,By His Woun,Glory Revealed
2,Christian,Glory Revealed,By His Woun,By His Wounds
3,Christian,Glory Revealed,By His Woun,He was pierced for our transgressions
4,Christian,Glory Revealed,By His Woun,He was crushed for our sins
5,Christian,Glory Revealed,By His Woun,The punishment that brought us peace was upon Him
6,Christian,Glory Revealed,By His Woun,"And by His wounds, by His wounds we are healed"
8,Christian,Glory Revealed,By His Woun,He was pierced for our transgressions
9,Christian,Glory Revealed,By His Woun,He was crushed for our sins
10,Christian,Glory Revealed,By His Woun,The punishment that brought us peace was upon Him
11,Christian,Glory Revealed,By His Woun,"And by His wounds, by His wounds we are healed"
13,Christian,Glory Revealed,By His Woun,We are healed by Your sacrifice
14,Christian,Glory Revealed,By His Woun,And the life that You gave
15,Christian,Glory Revealed,By His Woun,We are healed for You paid the price
16,Christian,Glory Revealed,By His Woun,By Your grace we are saved
17,Christian,Glory Revealed,By His Woun,We are saved
19,Christian,Glory Revealed,By His Woun,He was pierced for our transgressions
20,Christian,Glory Revealed,By His Woun,And crushed for our sins
21,Christian,Glory Revealed,By His Woun,The punishment that brought us peace was upon Him
22,Christian,Glory Revealed,By His Woun,"And by His wounds, by His wounds we are healed"
24,Christian,Glory Revealed,By His Woun,We are healed by Your sacrifice
25,Christian,Glory Revealed,By His Woun,And the life that You gave
26,Christian,Glory Revealed,By His Woun,We are healed for You paid the price
27,Christian,Glory Revealed,By His Woun,By Your grace we are saved
28,Christian,Glory Revealed,By His Woun,We are saved
30,Christian,Glory Revealed,By His Woun,He was pierced for our transgressions
31,Christian,Glory Revealed,By His Woun,He was crushed for our sins
32,Christian,Glory Revealed,By His Woun,The punishment that brought us peace was upon Him
33,Christian,Glory Revealed,By His Woun,"And by His wounds, by His wounds we are healed"
34,Christian,Glory Revealed,By His Woun,"And by His wounds, by His wounds"
36,Christian,Glory Revealed,By His Woun,What can wash away my sin?
37,Christian,Glory Revealed,By His Woun,Nothing but the blood of Jesus
39,Christian,Caedmon's Call,God of Wonde,Lord of heaven and earth
40,Christian,Caedmon's Call,God of Wonde,Lord of all creation
41,Christian,Caedmon's Call,God of Wonde,Lord of heaven and earth
42,Christian,Caedmon's Call,God of Wonde,Lord of all creation
43,Christian,Caedmon's Call,God of Wonde,"Of water, earth and sky"
44,Christian,Caedmon's Call,God of Wonde,The heavens are your Tabernacle
45,Christian,Caedmon's Call,God of Wonde,Glory to the Lord on high
47,Christian,Caedmon's Call,God of Wonde,God of wonders beyond our galaxy
48,Christian,Caedmon's Call,God of Wonde,"You are holy, holy"
49,Christian,Caedmon's Call,God of Wonde,The universe declares your majesty
50,Christian,Caedmon's Call,God of Wonde,"You are holy, holy"
51,Christian,Caedmon's Call,God of Wonde,Lord of heaven and earth
52,Christian,Caedmon's Call,God of Wonde,Lord of heaven and earth
54,Christian,Caedmon's Call,God of Wonde,Early in the morning
55,Christian,Caedmon's Call,God of Wonde,I will celebrate the light
56,Christian,Caedmon's Call,God of Wonde,When I stumble in the darkness
57,Christian,Caedmon's Call,God of Wonde,I will call your name by night
59,Christian,Caedmon's Call,God of Wonde,God of wonders beyond our galaxy
60,Christian,Caedmon's Call,God of Wonde,"You are holy, holy"
61,Christian,Caedmon's Call,God of Wonde,The universe declares your majesty
62,Christian,Caedmon's Call,God of Wonde,"You are holy, holy"
63,Christian,Caedmon's Call,God of Wonde,Lord of heaven and earth
64,Christian,Caedmon's Call,God of Wonde,Lord of heaven and earth
66,Christian,Caedmon's Call,God of Wonde,"Hallelujah, to the Lord of heaven and earth"
68,Christian,Caedmon's Call,God of Wonde,"Hallelujah, to the Lord of heaven and earth"
70,Christian,Caedmon's Call,God of Wonde,"Hallelujah, to the Lord of heaven and earth"
72,Christian,Caedmon's Call,God of Wonde,"Holy, holy"
74,Christian,Caedmon's Call,God of Wonde,God of wonders beyond our galaxy
75,Christian,Caedmon's Call,God of Wonde,"You are holy, holy"
76,Christian,Caedmon's Call,God of Wonde,The universe declares your majesty
77,Christian,Caedmon's Call,God of Wonde,"You are holy, holy"
78,Christian,Caedmon's Call,God of Wonde,Lord of heaven and earth
79,Christian,Caedmon's Call,God of Wonde,Lord of heaven and earth
81,Christian,Caedmon's Call,God of Wonde,Hallelujah to the lord of heaven and earth
83,Christian,Caedmon's Call,God of Wonde,Hallelujah to the lord of heaven and earth
85,Christian,Caedmon's Call,God of Wonde,Hallelujah to the lord of heaven and earth
87,Christian,Caedmon's Call,God of Wonde,Hallelujah to the lord of heaven and earth
89,Christian,Caedmon's Call,God of Wonde,Hallelujah to the lord of heaven and earth
91,Christian,Caedmon's Call,God of Wonde,Hallelujah to the lord of heaven and earth
93,Christian,MercyMe,I Can Only Imagi,I can only imagine what it will be like
94,Christian,MercyMe,I Can Only Imagi,When I walk by Your side
95,Christian,MercyMe,I Can Only Imagi,I can only imagine what my eyes will see
96,Christian,MercyMe,I Can Only Imagi,When Your face is before me
97,Christian,MercyMe,I Can Only Imagi,I can only imagine
98,Christian,MercyMe,I Can Only Imagi,Yeah
100,Christian,MercyMe,I Can Only Imagi,Surrounded by Your glory
101,Christian,MercyMe,I Can Only Imagi,What will my heart feel?
102,Christian,MercyMe,I Can Only Imagi,Will I dance for You Jesus?
103,Christian,MercyMe,I Can Only Imagi,Or in awe of You be still?
105,Christian,MercyMe,I Can Only Imagi,Will I stand in Your presence
106,Christian,MercyMe,I Can Only Imagi,Or to my knees will I fall?
107,Christian,MercyMe,I Can Only Imagi,"Will I sing, Hallelujah?"
108,Christian,MercyMe,I Can Only Imagi,Will I be able to speak at all?
109,Christian,MercyMe,I Can Only Imagi,I can only imagine
110,Christian,MercyMe,I Can Only Imagi,I can only imagine
112,Christian,MercyMe,I Can Only Imagi,I can only imagine when that day comes
113,Christian,MercyMe,I Can Only Imagi,And I find myself standing in the sun
114,Christian,MercyMe,I Can Only Imagi,I can only imagine when all I will do
115,Christian,MercyMe,I Can Only Imagi,"Is forever, forever worship You"
116,Christian,MercyMe,I Can Only Imagi,"I can only imagine, yeah"
117,Christian,MercyMe,I Can Only Imagi,I can only imagine
119,Christian,MercyMe,I Can Only Imagi,Surrounded by Your glory
120,Christian,MercyMe,I Can Only Imagi,What will my heart feel?
121,Christian,MercyMe,I Can Only Imagi,Will I dance for You Jesus?
122,Christian,MercyMe,I Can Only Imagi,Or in awe of You be still?
124,Christian,MercyMe,I Can Only Imagi,Will I stand in Your presence
125,Christian,MercyMe,I Can Only Imagi,Or to my knees will I fall?
126,Christian,MercyMe,I Can Only Imagi,"Will I sing, Hallelujah?"
127,Christian,MercyMe,I Can Only Imagi,Will I be able to speak at all?
128,Christian,MercyMe,I Can Only Imagi,I can only imagine
129,Christian,MercyMe,I Can Only Imagi,I can only imagine
131,Christian,MercyMe,I Can Only Imagi,Surrounded by Your glory
132,Christian,MercyMe,I Can Only Imagi,What will my heart feel?
133,Christian,MercyMe,I Can Only Imagi,Will I dance for You Jesus?
134,Christian,MercyMe,I Can Only Imagi,Or in awe of You be still?
136,Christian,MercyMe,I Can Only Imagi,Will I stand in Your presence
137,Christian,MercyMe,I Can Only Imagi,Or to my knees will I fall?
138,Christian,MercyMe,I Can Only Imagi,"Will I sing, Hallelujah?"
139,Christian,MercyMe,I Can Only Imagi,Will I be able to speak at all?
140,Christian,MercyMe,I Can Only Imagi,"I can only imagine, yeah"
141,Christian,MercyMe,I Can Only Imagi,I can only imagine
143,Christian,MercyMe,I Can Only Imagi,"I can only imagine, yeah"
144,Christian,MercyMe,I Can Only Imagi,I can only imagine
145,Christian,MercyMe,I Can Only Imagi,I can only imagine
146,Christian,MercyMe,I Can Only Imagi,I can only imagine
148,Christian,MercyMe,I Can Only Imagi,I can only imagine
149,Christian,MercyMe,I Can Only Imagi,When all I would do
150,Christian,MercyMe,I Can Only Imagi,"Is forever, forever worship You"
151,Christian,MercyMe,I Can Only Imagi,I can only imagine
153,Christian,Aaron Shust,My Savior My G,I am not skilled to understand
154,Christian,Aaron Shust,My Savior My G,"What God has willed, what God has planned"
155,Christian,Aaron Shust,My Savior My G,I only know at His right hand
156,Christian,Aaron Shust,My Savior My G,Stands One who is my Savior
158,Christian,Aaron Shust,My Savior My G,I take Him at His word and deed
159,Christian,Aaron Shust,My Savior My G,"Christ died to save me, this I read"
160,Christian,Aaron Shust,My Savior My G,And in my heart I find a need
161,Christian,Aaron Shust,My Savior My G,Of Him to be my Savior
163,Christian,Aaron Shust,My Savior My G,That He would leave His place on high
164,Christian,Aaron Shust,My Savior My G,And come for sinful man to die
165,Christian,Aaron Shust,My Savior My G,You count it strange so once did I
166,Christian,Aaron Shust,My Savior My G,Before I met my Savior
168,Christian,Aaron Shust,My Savior My G,"My Savior loves, my Savior lives"
169,Christian,Aaron Shust,My Savior My G,My Savior's always there for me
170,Christian,Aaron Shust,My Savior My G,"My God He was, my God He is"
171,Christian,Aaron Shust,My Savior My G,My God He's always gonna be
173,Christian,Aaron Shust,My Savior My G,"My Savior loves, my Savior lives"
174,Christian,Aaron Shust,My Savior My G,My Savior's always there for me
175,Christian,Aaron Shust,My Savior My G,"My God He was, my God He is"
176,Christian,Aaron Shust,My Savior My G,My God He's always gonna be
178,Christian,Aaron Shust,My Savior My G,"Yes, living, dying, let me bring"
179,Christian,Aaron Shust,My Savior My G,"My strength, my solace from this spring"
180,Christian,Aaron Shust,My Savior My G,That He who lives to be my King
181,Christian,Aaron Shust,My Savior My G,Once died to be my Savior
183,Christian,Aaron Shust,My Savior My G,That He would leave His place on high
184,Christian,Aaron Shust,My Savior My G,And come for sinful man to die
185,Christian,Aaron Shust,My Savior My G,You count it strange so once did I
186,Christian,Aaron Shust,My Savior My G,Before I knew my Savior
188,Christian,Aaron Shust,My Savior My G,"My Savior loves, my Savior lives"
189,Christian,Aaron Shust,My Savior My G,My Savior's always there for me
190,Christian,Aaron Shust,My Savior My G,"My God He was, my God He is"
191,Christian,Aaron Shust,My Savior My G,My God He's always gonna be
193,Christian,Aaron Shust,My Savior My G,"My Savior loves, my Savior lives"
194,Christian,Aaron Shust,My Savior My G,My Savior's always there for me
195,Christian,Aaron Shust,My Savior My G,"My God He was, my God He is"
196,Christian,Aaron Shust,My Savior My G,My God He's always gonna be
198,Christian,Aaron Shust,My Savior My G,"My Savior loves, my Savior lives"
199,Christian,Aaron Shust,My Savior My G,My Savior's always there for me
200,Christian,Aaron Shust,My Savior My G,"My God He was, my God He is"
201,Christian,Aaron Shust,My Savior My G,My God He's always gonna be
203,Christian,Aaron Shust,My Savior My G,"My Savior loves, my Savior lives"
204,Christian,Aaron Shust,My Savior My G,My Savior's always there for me
205,Christian,Aaron Shust,My Savior My G,"My God He was, my God He is"
206,Christian,Aaron Shust,My Savior My G,My God He's always gonna be
208,Christian,Aaron Shust,My Savior My G,"My Savior loves, my Savior lives"
209,Christian,Aaron Shust,My Savior My G,My Savior's always there for me
210,Christian,Aaron Shust,My Savior My G,"My God He was, my God He is"
211,Christian,Aaron Shust,My Savior My G,My God He's always gonna be
212,Christian,Aaron Shust,My Savior My G,"My Savior loves, my Savior lives"
213,Christian,Aaron Shust,My Savior My G,My Savior's always there for me
214,Christian,Aaron Shust,My Savior My G,"My God He was, my God He is"
215,Christian,Aaron Shust,My Savior My G,My God He's always gonna be
216,Christian,Aaron Shust,My Savior My G,"My Savior lives, my Savior loves"
217,Christian,Aaron Shust,My Savior My G,"My Savior lives, my Savior loves"
218,Christian,Aaron Shust,My Savior My G,My Savior lives
220,Christian,Michael W. Smith,Breat,This is the air I breathe
221,Christian,Michael W. Smith,Breat,This is the air I breathe
222,Christian,Michael W. Smith,Breat,Your Holy presence living in me
224,Christian,Michael W. Smith,Breat,This is my daily bread
225,Christian,Michael W. Smith,Breat,This is my daily bread
226,Christian,Michael W. Smith,Breat,Your very word spoken to me
228,Christian,Michael W. Smith,Breat,"And I, I'm desperate for You"
229,Christian,Michael W. Smith,Breat,"And I, I'm lost without You"
231,Christian,Michael W. Smith,Breat,This is the air I breathe
232,Christian,Michael W. Smith,Breat,This is the air I breathe
233,Christian,Michael W. Smith,Breat,Your Holy presence living in me
235,Christian,Michael W. Smith,Breat,This is my daily bread
236,Christian,Michael W. Smith,Breat,This is my daily bread
237,Christian,Michael W. Smith,Breat,Your very word spoken to me
239,Christian,Michael W. Smith,Breat,"And I, I'm desperate for You"
240,Christian,Michael W. Smith,Breat,"And I, I'm lost without You"
241,Christian,Michael W. Smith,Breat,"And I, I'm desperate for You"
242,Christian,Michael W. Smith,Breat,"And I, I'm lost without You"
244,Christian,Michael W. Smith,Breat,I'm lost without You
245,Christian,Michael W. Smith,Breat,I'm lost without You
246,Christian,Michael W. Smith,Breat,I'm desperate for You
247,Christian,Michael W. Smith,Breat,Cry out to Him
249,Christian,Michael W. Smith,Breat,I'm desperate for You
250,Christian,Michael W. Smith,Breat,Cry out to You
251,Christian,Michael W. Smith,Breat,I'm desperate for You
252,Christian,Michael W. Smith,Breat,Well I'm lost without You now
254,Christian,Michael W. Smith,Breat,I'm desperate for You
255,Christian,Michael W. Smith,Breat,I'm desperate for You
256,Christian,Michael W. Smith,Breat,"I'm lost, I'm lost, I'm lost without You Lord"
257,Christian,Michael W. Smith,Breat,"Yea, I'm lost without You"
259,Christian,Michael W. Smith,Breat,I'm lost without You
260,Christian,Michael W. Smith,Breat,I'm lost without You
261,Christian,Michael W. Smith,Breat,I'm desperate for You
263,Christian,Michael W. Smith,Breat,How many of you are hungry for God?
264,Christian,Michael W. Smith,Breat,Are you hungry for Him?
265,Christian,Michael W. Smith,Breat,"I want more of Him, who wants the flood gates to open up?"
267,Christian,Chris Tomlin,How Great Is Our G,We do not have the lyrics for How Great Is Our God yet.
268,Christian,Laura Story,Mighty To Sa,Everyone needs compassion
269,Christian,Laura Story,Mighty To Sa,A love that's never failing
270,Christian,Laura Story,Mighty To Sa,Let mercy fall on me
271,Christian,Laura Story,Mighty To Sa,Everyone needs forgiveness
272,Christian,Laura Story,Mighty To Sa,A kindness of a Savior
273,Christian,Laura Story,Mighty To Sa,The hope of nations
275,Christian,Laura Story,Mighty To Sa,Savior
276,Christian,Laura Story,Mighty To Sa,He can move the mountains
277,Christian,Laura Story,Mighty To Sa,My God is Mighty to save
278,Christian,Laura Story,Mighty To Sa,He is Mighty to save
280,Christian,Laura Story,Mighty To Sa,Forever
281,Christian,Laura Story,Mighty To Sa,Author of salvation
282,Christian,Laura Story,Mighty To Sa,He rose and conquered the grave
283,Christian,Laura Story,Mighty To Sa,Jesus conquered the grave
285,Christian,Laura Story,Mighty To Sa,So take me as You find me
286,Christian,Laura Story,Mighty To Sa,All my fears and failures
287,Christian,Laura Story,Mighty To Sa,Fill my life again
288,Christian,Laura Story,Mighty To Sa,I give my life to follow
289,Christian,Laura Story,Mighty To Sa,Everything I believe in
290,Christian,Laura Story,Mighty To Sa,Now I surrender
291,Christian,Laura Story,Mighty To Sa,Yes I surrender
293,Christian,Laura Story,Mighty To Sa,Savior
294,Christian,Laura Story,Mighty To Sa,He can move the mountains
295,Christian,Laura Story,Mighty To Sa,My God is Mighty to save
296,Christian,Laura Story,Mighty To Sa,He is Mighty to save
298,Christian,Laura Story,Mighty To Sa,Forever
299,Christian,Laura Story,Mighty To Sa,Author of salvation
300,Christian,Laura Story,Mighty To Sa,He rose and conquered the grave
301,Christian,Laura Story,Mighty To Sa,Jesus conquered the grave
303,Christian,Laura Story,Mighty To Sa,Shine your light and let the whole world see
304,Christian,Laura Story,Mighty To Sa,We're singing for the glory of the risen King Jesus
305,Christian,Laura Story,Mighty To Sa,Shine your light and let the whole world see
306,Christian,Laura Story,Mighty To Sa,We're singing for the glory of the risen King Jesus
308,Christian,Laura Story,Mighty To Sa,Savior
309,Christian,Laura Story,Mighty To Sa,He can move the mountains
310,Christian,Laura Story,Mighty To Sa,My God is Mighty to save
311,Christian,Laura Story,Mighty To Sa,He is Mighty to save
313,Christian,Laura Story,Mighty To Sa,Forever
314,Christian,Laura Story,Mighty To Sa,Author of salvation
315,Christian,Laura Story,Mighty To Sa,He rose and conquered the grave
316,Christian,Laura Story,Mighty To Sa,Jesus conquered the grave
318,Christian,Laura Story,Mighty To Sa,Savior
319,Christian,Laura Story,Mighty To Sa,You can move the mountains
320,Christian,Laura Story,Mighty To Sa,God you are mighty to save
321,Christian,Laura Story,Mighty To Sa,Yes you are mighty to save
323,Christian,Laura Story,Mighty To Sa,Forever
324,Christian,Laura Story,Mighty To Sa,Author of Salvation
325,Christian,Laura Story,Mighty To Sa,You rose and conquered the grave
326,Christian,Laura Story,Mighty To Sa,Yes you conquered the grave
328,Christian,Laura Story,Mighty To Sa,You were mighty to save
330,Christian,Tree63,Blessed Be Your Na,Blessed be Your name
331,Christian,Tree63,Blessed Be Your Na,In the land that is plentiful
332,Christian,Tree63,Blessed Be Your Na,Where the streams of abundance flow
333,Christian,Tree63,Blessed Be Your Na,Blessed be Your name
335,Christian,Tree63,Blessed Be Your Na,Blessed be Your name
336,Christian,Tree63,Blessed Be Your Na,When I'm found in the desert place
337,Christian,Tree63,Blessed Be Your Na,Though I walk through the wilderness
338,Christian,Tree63,Blessed Be Your Na,Blessed be Your name
340,Christian,Tree63,Blessed Be Your Na,Every blessing You pour out
341,Christian,Tree63,Blessed Be Your Na,I'll turn back to praise
342,Christian,Tree63,Blessed Be Your Na,"When the darkness closes in, Lord"
343,Christian,Tree63,Blessed Be Your Na,Still I will say
345,Christian,Tree63,Blessed Be Your Na,Blessed be the name of the Lord
346,Christian,Tree63,Blessed Be Your Na,Blessed be Your name
347,Christian,Tree63,Blessed Be Your Na,Blessed be the name of the Lord
348,Christian,Tree63,Blessed Be Your Na,Blessed be Your glorious name
350,Christian,Tree63,Blessed Be Your Na,Blessed be Your name
351,Christian,Tree63,Blessed Be Your Na,When the sun's shining down on me
352,Christian,Tree63,Blessed Be Your Na,When the world's all as it should be
353,Christian,Tree63,Blessed Be Your Na,Blessed be Your name
355,Christian,Tree63,Blessed Be Your Na,Blessed be Your name
356,Christian,Tree63,Blessed Be Your Na,On the road marked with suffering
357,Christian,Tree63,Blessed Be Your Na,Though there's pain in the offering
358,Christian,Tree63,Blessed Be Your Na,Blessed be Your name
360,Christian,Tree63,Blessed Be Your Na,Every blessing You pour out
361,Christian,Tree63,Blessed Be Your Na,I'll turn back to praise
362,Christian,Tree63,Blessed Be Your Na,"When the darkness closes in, Lord"
363,Christian,Tree63,Blessed Be Your Na,Still I will say
365,Christian,Tree63,Blessed Be Your Na,Blessed be the name of the Lord
366,Christian,Tree63,Blessed Be Your Na,Blessed be Your name
367,Christian,Tree63,Blessed Be Your Na,Blessed be the name of the Lord
368,Christian,Tree63,Blessed Be Your Na,Blessed be Your glorious name
370,Christian,Tree63,Blessed Be Your Na,You give and take away
371,Christian,Tree63,Blessed Be Your Na,You give and take away
372,Christian,Tree63,Blessed Be Your Na,My heart will choose to say
373,Christian,Tree63,Blessed Be Your Na,"Lord, blessed be Your name"
375,Christian,Tree63,Blessed Be Your Na,Every blessing You pour out
376,Christian,Tree63,Blessed Be Your Na,I'll turn back to praise
377,Christian,Tree63,Blessed Be Your Na,"When the darkness closes in, Lord"
378,Christian,Tree63,Blessed Be Your Na,Still I'm gonna say
380,Christian,Tree63,Blessed Be Your Na,Blessed be the name of the Lord
381,Christian,Tree63,Blessed Be Your Na,Blessed be Your name
382,Christian,Tree63,Blessed Be Your Na,Blessed be the name of the Lord
383,Christian,Tree63,Blessed Be Your Na,Blessed be Your glorious name
385,Christian,Tree63,Blessed Be Your Na,Blessed be the name of the Lord
386,Christian,Tree63,Blessed Be Your Na,Blessed be Your name
387,Christian,Tree63,Blessed Be Your Na,Blessed be the name of the Lord
388,Christian,Tree63,Blessed Be Your Na,Blessed be Your glorious name
390,Christian,Tree63,Blessed Be Your Na,You give and take away
391,Christian,Tree63,Blessed Be Your Na,You give and take away
392,Christian,Tree63,Blessed Be Your Na,My heart will choose to say
393,Christian,Tree63,Blessed Be Your Na,"Lord, Blessed be Your name"
395,Christian,Chris Tomlin,Holy Is the Lo,We do not have the lyrics for Holy Is the Lord yet.
396,Christian,Casting Crowns,East To We,EAST TO WEST
398,Christian,Casting Crowns,East To We,Here I am Lord and I'm drowning
399,Christian,Casting Crowns,East To We,In Your sea of forgetfulness
400,Christian,Casting Crowns,East To We,The chains of yesterday surround me
401,Christian,Casting Crowns,East To We,I yearn for peace and rest
402,Christian,Casting Crowns,East To We,I don't want to end up where You found me
403,Christian,Casting Crowns,East To We,And it echoes in my mind
404,Christian,Casting Crowns,East To We,Keeps me awake tonight
406,Christian,Casting Crowns,East To We,I know You've cast my sin as far
407,Christian,Casting Crowns,East To We,As the East is from the West
408,Christian,Casting Crowns,East To We,And I stand before You now
409,Christian,Casting Crowns,East To We,As though I've never sinned
410,Christian,Casting Crowns,East To We,But today I feel like I'm just one mistake away
411,Christian,Casting Crowns,East To We,From You leaving me this way
413,Christian,Casting Crowns,East To We,"Jesus, can You show me just how far the East is from the West?"
414,Christian,Casting Crowns,East To We,Cause I can't bear to see the man I've been
415,Christian,Casting Crowns,East To We,Rising up in me again
416,Christian,Casting Crowns,East To We,In the arms of Your mercy I find rest
417,Christian,Casting Crowns,East To We,You know just how far the East is from the West
418,Christian,Casting Crowns,East To We,From one scarred hand to the other
420,Christian,Casting Crowns,East To We,"I start the day, the war begins"
421,Christian,Casting Crowns,East To We,Endless reminding of my sin
422,Christian,Casting Crowns,East To We,And time and time again
423,Christian,Casting Crowns,East To We,Your truth is drowned out by the storm I'm in
424,Christian,Casting Crowns,East To We,Today I feel like I'm just one mistake away
425,Christian,Casting Crowns,East To We,From You leaving me this way
427,Christian,Casting Crowns,East To We,"Jesus, can You show me just how far the East is from the West?"
428,Christian,Casting Crowns,East To We,Cause I can't bear to see the man I've been
429,Christian,Casting Crowns,East To We,Come rising up in me again
430,Christian,Casting Crowns,East To We,In the arms of Your mercy I find rest
431,Christian,Casting Crowns,East To We,Cause You know just how far the East is from the West
432,Christian,Casting Crowns,East To We,From one scarred hand to the other
434,Christian,Casting Crowns,East To We,I know You've washed me white
435,Christian,Casting Crowns,East To We,Turned my darkness into light
436,Christian,Casting Crowns,East To We,I need Your peace to get me through
437,Christian,Casting Crowns,East To We,To get me through this night
438,Christian,Casting Crowns,East To We,I can't live by what I feel
439,Christian,Casting Crowns,East To We,About the truth Your word reveals
440,Christian,Casting Crowns,East To We,And I'm not holding onto You
441,Christian,Casting Crowns,East To We,But You're holding onto me
442,Christian,Casting Crowns,East To We,You're holding onto me
444,Christian,Casting Crowns,East To We,"Jesus, You know just how far the East is from the West"
445,Christian,Casting Crowns,East To We,I don't have to see the man I've been
446,Christian,Casting Crowns,East To We,Come rising up in me again
447,Christian,Casting Crowns,East To We,In the arms of Your mercy I find rest (mercy I find rest)
448,Christian,Casting Crowns,East To We,You know just how far the East is from the West
449,Christian,Casting Crowns,East To We,From one scarred hand to the other
451,Christian,Casting Crowns,East To We,"(Just how far, the East is from the West, Just how far)"
452,Christian,Casting Crowns,East To We,From one scarred hand to the other
453,Christian,Casting Crowns,East To We,"(You know just how far, the East is from the West, Just how far)"
454,Christian,Casting Crowns,East To We,From one scarred hand to the other
456,Christian,Switchfoot,Alwa,This is the start
457,Christian,Switchfoot,Alwa,This is your heart
458,Christian,Switchfoot,Alwa,This is the day you were born
459,Christian,Switchfoot,Alwa,This is the sun
460,Christian,Switchfoot,Alwa,These are your lungs
461,Christian,Switchfoot,Alwa,This is the day you were born
463,Christian,Switchfoot,Alwa,"And I am always, always"
464,Christian,Switchfoot,Alwa,Always yours
465,Christian,Switchfoot,Alwa,"I am always, always"
466,Christian,Switchfoot,Alwa,Always yours
468,Christian,Switchfoot,Alwa,These are the scars
469,Christian,Switchfoot,Alwa,Deep in your heart
470,Christian,Switchfoot,Alwa,This is the place you were born
471,Christian,Switchfoot,Alwa,This is the hole
472,Christian,Switchfoot,Alwa,Where most of your soul
473,Christian,Switchfoot,Alwa,Comes ripping out
474,Christian,Switchfoot,Alwa,From the places you've been torn
