,Unnamed: 0,genre,artist,song,lyrics
0,0,Christian,Glory Revealed,By His Woun,Glory Revealed
1,2,Christian,Glory Revealed,By His Woun,By His Wounds
2,3,Christian,Glory Revealed,By His Woun,He was pierced for our transgressions
3,4,Christian,Glory Revealed,By His Woun,He was crushed for our sins
4,5,Christian,Glory Revealed,By His Woun,The punishment that brought us peace was upon Him
5,6,Christian,Glory Revealed,By His Woun,"And by His wounds, by His wounds we are healed"
6,8,Christian,Glory Revealed,By His Woun,He was pierced for our transgressions
7,9,Christian,Glory Revealed,By His Woun,He was crushed for our sins
8,10,Christian,Glory Revealed,By His Woun,The punishment that brought us peace was upon Him
9,11,Christian,Glory Revealed,By His Woun,"And by His wounds, by His wounds we are healed"
10,13,Christian,Glory Revealed,By His Woun,We are healed by Your sacrifice
11,14,Christian,Glory Revealed,By His Woun,And the life that You gave
12,15,Christian,Glory Revealed,By His Woun,We are healed for You paid the price
13,16,Christian,Glory Revealed,By His Woun,By Your grace we are saved
14,17,Christian,Glory Revealed,By His Woun,We are saved
15,19,Christian,Glory Revealed,By His Woun,He was pierced for our transgressions
16,20,Christian,Glory Revealed,By His Woun,And crushed for our sins
17,21,Christian,Glory Revealed,By His Woun,The punishment that brought us peace was upon Him
18,22,Christian,Glory Revealed,By His Woun,"And by His wounds, by His wounds we are healed"
19,24,Christian,Glory Revealed,By His Woun,We are healed by Your sacrifice
20,25,Christian,Glory Revealed,By His Woun,And the life that You gave
21,26,Christian,Glory Revealed,By His Woun,We are healed for You paid the price
22,27,Christian,Glory Revealed,By His Woun,By Your grace we are saved
23,28,Christian,Glory Revealed,By His Woun,We are saved
24,30,Christian,Glory Revealed,By His Woun,He was pierced for our transgressions
25,31,Christian,Glory Revealed,By His Woun,He was crushed for our sins
26,32,Christian,Glory Revealed,By His Woun,The punishment that brought us peace was upon Him
27,33,Christian,Glory Revealed,By His Woun,"And by His wounds, by His wounds we are healed"
28,34,Christian,Glory Revealed,By His Woun,"And by His wounds, by His wounds"
29,36,Christian,Glory Revealed,By His Woun,What can wash away my sin?
30,37,Christian,Glory Revealed,By His Woun,Nothing but the blood of Jesus
