,genre,artist,song,lyrics
0,Country,The Original Carter Family,Can the Circle Be Unbroken (Bye and By,I was standing by the window
1,Country,The Original Carter Family,Can the Circle Be Unbroken (Bye and By,On a dark and cloudy day
2,Country,The Original Carter Family,Can the Circle Be Unbroken (Bye and By,When I saw the hearse come rolling
3,Country,The Original Carter Family,Can the Circle Be Unbroken (Bye and By,For to carry my mother away
5,Country,The Original Carter Family,Can the Circle Be Unbroken (Bye and By,Can the circle be unbroken
6,Country,The Original Carter Family,Can the Circle Be Unbroken (Bye and By,"By and by, Lord, by and by"
7,Country,The Original Carter Family,Can the Circle Be Unbroken (Bye and By,There's a better home awaiting
8,Country,The Original Carter Family,Can the Circle Be Unbroken (Bye and By,"In the sky, Lord, in the sky"
10,Country,The Original Carter Family,Can the Circle Be Unbroken (Bye and By,"Lord, I told the undertaker, undertaker"
11,Country,The Original Carter Family,Can the Circle Be Unbroken (Bye and By,Please drive slow
12,Country,The Original Carter Family,Can the Circle Be Unbroken (Bye and By,For this body you are holding Lord
13,Country,The Original Carter Family,Can the Circle Be Unbroken (Bye and By,"Lord, I hate to see her go"
15,Country,The Original Carter Family,Can the Circle Be Unbroken (Bye and By,Can the circle be unbroken
16,Country,The Original Carter Family,Can the Circle Be Unbroken (Bye and By,"By and by, Lord, by and by"
17,Country,The Original Carter Family,Can the Circle Be Unbroken (Bye and By,There's a better home awaiting
18,Country,The Original Carter Family,Can the Circle Be Unbroken (Bye and By,"In the sky, Lord, in the sky"
20,Country,The Original Carter Family,Can the Circle Be Unbroken (Bye and By,I followed close behind her
21,Country,The Original Carter Family,Can the Circle Be Unbroken (Bye and By,Tried to hold up and be brave
22,Country,The Original Carter Family,Can the Circle Be Unbroken (Bye and By,But I could not hide my sorrow
23,Country,The Original Carter Family,Can the Circle Be Unbroken (Bye and By,When they laid her in the grave
25,Country,The Original Carter Family,Can the Circle Be Unbroken (Bye and By,Can the circle be unbroken
26,Country,The Original Carter Family,Can the Circle Be Unbroken (Bye and By,"By and by, Lord, by and by"
27,Country,The Original Carter Family,Can the Circle Be Unbroken (Bye and By,There's a better home awaiting
28,Country,The Original Carter Family,Can the Circle Be Unbroken (Bye and By,"In the sky, Lord, in the sky"
30,Country,The Original Carter Family,Can the Circle Be Unbroken (Bye and By,"Went that home Lord, my home was lonesome"
31,Country,The Original Carter Family,Can the Circle Be Unbroken (Bye and By,Yes my mother she was gone
32,Country,The Original Carter Family,Can the Circle Be Unbroken (Bye and By,"All my brothers, sisters cryin'"
33,Country,The Original Carter Family,Can the Circle Be Unbroken (Bye and By,What a home to sit alone
