,genre,artist,song,lyrics
0,Hip Hop/Rap,Run D.M.C.,Walk This W,Backstroke lover always hidin' 'neath the covers
1,Hip Hop/Rap,Run D.M.C.,Walk This W,"Till I talked to your daddy, he say"
2,Hip Hop/Rap,Run D.M.C.,Walk This W,"He said ""you ain't seen nothin' till you're down on a muffin"
3,Hip Hop/Rap,Run D.M.C.,Walk This W,"Then you're sure to be a-changin' your ways"""
4,Hip Hop/Rap,Run D.M.C.,Walk This W,"I met a cheerleader, was a real young bleeder"
5,Hip Hop/Rap,Run D.M.C.,Walk This W,"Oh, the times I could reminisce"
6,Hip Hop/Rap,Run D.M.C.,Walk This W,'Cause the best things of lovin' with her sister and her cousin
7,Hip Hop/Rap,Run D.M.C.,Walk This W,Only started with a little kiss
8,Hip Hop/Rap,Run D.M.C.,Walk This W,Like this
10,Hip Hop/Rap,Run D.M.C.,Walk This W,Seesaw swingin' with the boys in the school
11,Hip Hop/Rap,Run D.M.C.,Walk This W,And your feet flyin' up in the air
12,Hip Hop/Rap,Run D.M.C.,Walk This W,"Singin' ""hey diddle diddle"""
13,Hip Hop/Rap,Run D.M.C.,Walk This W,With your kitty in the middle of the swing
14,Hip Hop/Rap,Run D.M.C.,Walk This W,Like you didn't care
15,Hip Hop/Rap,Run D.M.C.,Walk This W,So I took a big chance at the high school dance
16,Hip Hop/Rap,Run D.M.C.,Walk This W,With a missy who was ready to play
17,Hip Hop/Rap,Run D.M.C.,Walk This W,Wasn't me she was foolin'
18,Hip Hop/Rap,Run D.M.C.,Walk This W,'Cause she knew what she was doin'
19,Hip Hop/Rap,Run D.M.C.,Walk This W,And I knowed love was here to stay
20,Hip Hop/Rap,Run D.M.C.,Walk This W,When she told me to
22,Hip Hop/Rap,Run D.M.C.,Walk This W,"Walk this way, walk this way"
23,Hip Hop/Rap,Run D.M.C.,Walk This W,"Walk this way, walk this way"
24,Hip Hop/Rap,Run D.M.C.,Walk This W,"Walk this way, walk this way"
25,Hip Hop/Rap,Run D.M.C.,Walk This W,"Walk this way, walk this way"
26,Hip Hop/Rap,Run D.M.C.,Walk This W,Just gimme a kiss
27,Hip Hop/Rap,Run D.M.C.,Walk This W,Like this
29,Hip Hop/Rap,Run D.M.C.,Walk This W,Schoolgirl sweetie with a classy kinda sassy
30,Hip Hop/Rap,Run D.M.C.,Walk This W,Little skirt's climbin' way up the knee
31,Hip Hop/Rap,Run D.M.C.,Walk This W,There was three young ladies in the school gym locker
32,Hip Hop/Rap,Run D.M.C.,Walk This W,When I noticed they was lookin' at me
33,Hip Hop/Rap,Run D.M.C.,Walk This W,"I was a high school loser, never made it with a lady"
34,Hip Hop/Rap,Run D.M.C.,Walk This W,Till the boys told me somethin' I missed
35,Hip Hop/Rap,Run D.M.C.,Walk This W,Then my next door neighbor with a daughter had a favor
36,Hip Hop/Rap,Run D.M.C.,Walk This W,So I gave her just a little kiss
37,Hip Hop/Rap,Run D.M.C.,Walk This W,Like this
39,Hip Hop/Rap,Run D.M.C.,Walk This W,Seesaw swingin' with the boys in the school
40,Hip Hop/Rap,Run D.M.C.,Walk This W,And your feet flyin' up in the air
41,Hip Hop/Rap,Run D.M.C.,Walk This W,"Singin' ""hey diddle diddle"""
42,Hip Hop/Rap,Run D.M.C.,Walk This W,With your kitty in the middle of the swing
43,Hip Hop/Rap,Run D.M.C.,Walk This W,Like you didn't care
44,Hip Hop/Rap,Run D.M.C.,Walk This W,So I took a big chance at the high school dance
45,Hip Hop/Rap,Run D.M.C.,Walk This W,With a missy who was ready to play
46,Hip Hop/Rap,Run D.M.C.,Walk This W,Wasn't me she was foolin'
47,Hip Hop/Rap,Run D.M.C.,Walk This W,'Cause she knew what she was doin'
48,Hip Hop/Rap,Run D.M.C.,Walk This W,"When she told me how to walk this way, she told me to"
50,Hip Hop/Rap,Run D.M.C.,Walk This W,"Walk this way, talk this way"
51,Hip Hop/Rap,Run D.M.C.,Walk This W,"Walk this way, walk this way"
52,Hip Hop/Rap,Run D.M.C.,Walk This W,"Walk this way, walk this way"
53,Hip Hop/Rap,Run D.M.C.,Walk This W,"Walk this way, talk this way"
54,Hip Hop/Rap,Run D.M.C.,Walk This W,Just gimme a kiss
55,Hip Hop/Rap,Run D.M.C.,Walk This W,Like this
57,Hip Hop/Rap,The Notorious B.I.G.,Jui,Intro
58,Hip Hop/Rap,The Notorious B.I.G.,Jui,Fuck all y'all hoes
59,Hip Hop/Rap,The Notorious B.I.G.,Jui,Get a grip motherfucker
60,Hip Hop/Rap,The Notorious B.I.G.,Jui,"Yeah, this album is dedicated"
61,Hip Hop/Rap,The Notorious B.I.G.,Jui,To all the teachers that told me I'd never amount to nothing
62,Hip Hop/Rap,The Notorious B.I.G.,Jui,To all the people that lived above the buildings that I was hustling in front of
63,Hip Hop/Rap,The Notorious B.I.G.,Jui,That called the police on me
64,Hip Hop/Rap,The Notorious B.I.G.,Jui,When I was just trying to make some money to feed my daughter
65,Hip Hop/Rap,The Notorious B.I.G.,Jui,And all the niggas in the struggle
66,Hip Hop/Rap,The Notorious B.I.G.,Jui,You know what I'm saying
67,Hip Hop/Rap,The Notorious B.I.G.,Jui,It's all good baby baby
69,Hip Hop/Rap,The Notorious B.I.G.,Jui,Verse 1
70,Hip Hop/Rap,The Notorious B.I.G.,Jui,It was all a dream
71,Hip Hop/Rap,The Notorious B.I.G.,Jui,I used to read Word Up magazine
72,Hip Hop/Rap,The Notorious B.I.G.,Jui,Salt 'n' Pepa and Heavy D up in the limousine
73,Hip Hop/Rap,The Notorious B.I.G.,Jui,Hangin pictures on my wall
74,Hip Hop/Rap,The Notorious B.I.G.,Jui,"Every Saturday Rap Attack, Mr. Magic, Marley Marl"
75,Hip Hop/Rap,The Notorious B.I.G.,Jui,I let my tape rock til my tape popped
76,Hip Hop/Rap,The Notorious B.I.G.,Jui,"Smokin weed and Bambu, sippin on Private Stock"
