,genre,artist,song,lyrics
0,Rhythm and Blues,Marvin Gaye,I Heard It Through The Grapevi,I bet you're wondering how I knew
1,Rhythm and Blues,Marvin Gaye,I Heard It Through The Grapevi,'bout you're plans to make me blue
2,Rhythm and Blues,Marvin Gaye,I Heard It Through The Grapevi,With some other guy you knew before
3,Rhythm and Blues,Marvin Gaye,I Heard It Through The Grapevi,Between the two of us guys you know I love you more
4,Rhythm and Blues,Marvin Gaye,I Heard It Through The Grapevi,It took me by surprise I must say
5,Rhythm and Blues,Marvin Gaye,I Heard It Through The Grapevi,When I found out yesterday
7,Rhythm and Blues,Marvin Gaye,I Heard It Through The Grapevi,Don't you know that I heard it through the grapevine?
8,Rhythm and Blues,Marvin Gaye,I Heard It Through The Grapevi,Not much longer would you be mine
9,Rhythm and Blues,Marvin Gaye,I Heard It Through The Grapevi,Oh I heard it through the grapevine
10,Rhythm and Blues,Marvin Gaye,I Heard It Through The Grapevi,Oh and I'm just about to lose my mind
11,Rhythm and Blues,Marvin Gaye,I Heard It Through The Grapevi,"Honey, honey, yeah"
13,Rhythm and Blues,Marvin Gaye,I Heard It Through The Grapevi,Heard it through the grapevine?
14,Rhythm and Blues,Marvin Gaye,I Heard It Through The Grapevi,"Not much longer would you be mine, baby"
16,Rhythm and Blues,Marvin Gaye,I Heard It Through The Grapevi,I know that a man ain't supposed to cry
17,Rhythm and Blues,Marvin Gaye,I Heard It Through The Grapevi,But these tears I can't hold inside
18,Rhythm and Blues,Marvin Gaye,I Heard It Through The Grapevi,Losin' you would end my life you see
19,Rhythm and Blues,Marvin Gaye,I Heard It Through The Grapevi,'Cause you mean that much to me
20,Rhythm and Blues,Marvin Gaye,I Heard It Through The Grapevi,You could have told me yourself
21,Rhythm and Blues,Marvin Gaye,I Heard It Through The Grapevi,That you love someone else
23,Rhythm and Blues,Marvin Gaye,I Heard It Through The Grapevi,"Instead, I heard it through the grapevine"
24,Rhythm and Blues,Marvin Gaye,I Heard It Through The Grapevi,Not much longer would you be mine
25,Rhythm and Blues,Marvin Gaye,I Heard It Through The Grapevi,Oh I heard it through the grapevine
26,Rhythm and Blues,Marvin Gaye,I Heard It Through The Grapevi,And I'm just about to lose my mind
27,Rhythm and Blues,Marvin Gaye,I Heard It Through The Grapevi,"Honey, honey, well"
29,Rhythm and Blues,Marvin Gaye,I Heard It Through The Grapevi,Heard it through the grapevine?
30,Rhythm and Blues,Marvin Gaye,I Heard It Through The Grapevi,"Not much longer would you be mine, baby"
32,Rhythm and Blues,Marvin Gaye,I Heard It Through The Grapevi,People say believe half of what you see
33,Rhythm and Blues,Marvin Gaye,I Heard It Through The Grapevi,"Son, and none of what you hear"
34,Rhythm and Blues,Marvin Gaye,I Heard It Through The Grapevi,But I can't help bein' confused
35,Rhythm and Blues,Marvin Gaye,I Heard It Through The Grapevi,"If it's true, please tell me, dear?"
36,Rhythm and Blues,Marvin Gaye,I Heard It Through The Grapevi,Do you plan to let me go
37,Rhythm and Blues,Marvin Gaye,I Heard It Through The Grapevi,For the other guy you loved before?
39,Rhythm and Blues,Marvin Gaye,I Heard It Through The Grapevi,Don't you know I heard it through the grapevine?
40,Rhythm and Blues,Marvin Gaye,I Heard It Through The Grapevi,Not much longer would you be mine
41,Rhythm and Blues,Marvin Gaye,I Heard It Through The Grapevi,"Baby, I heard it through the grapevine"
42,Rhythm and Blues,Marvin Gaye,I Heard It Through The Grapevi,Ooh I'm just about to lose my mind
43,Rhythm and Blues,Marvin Gaye,I Heard It Through The Grapevi,"Honey, honey yeah"
45,Rhythm and Blues,Marvin Gaye,I Heard It Through The Grapevi,Heard it through the grapevine?
46,Rhythm and Blues,Marvin Gaye,I Heard It Through The Grapevi,"Not much longer would you be mine, baby"
48,Rhythm and Blues,Marvin Gaye,I Heard It Through The Grapevi,"Honey, honey, I know"
49,Rhythm and Blues,Marvin Gaye,I Heard It Through The Grapevi,That you're letting me go
50,Rhythm and Blues,Marvin Gaye,I Heard It Through The Grapevi,I said I heard through the grapevine
51,Rhythm and Blues,Marvin Gaye,I Heard It Through The Grapevi,Ooh heard it through the grapevine
53,Rhythm and Blues,Ray Charles,What'd I S,"Hey mama, don't you treat me wrong"
