,genre,artist,song,lyrics
0,Rock,Black Sabbath,Parano,Finished with my woman because she couldn't help me with my mind. 
1,Rock,Black Sabbath,Parano,People think I'm insane because I am frowning all the time. 
2,Rock,Black Sabbath,Parano,All day long I think of things but nothing seems to satisfy. 
3,Rock,Black Sabbath,Parano,Think I'll lose my mind if I don't find something to pacify... 
5,Rock,Black Sabbath,Parano,"Can you help me, occupy my brain? "
6,Rock,Black Sabbath,Parano,"Oh, yeah... "
8,Rock,Black Sabbath,Parano,I need someone to show me the things in life that I can't find. 
9,Rock,Black Sabbath,Parano,"I can't see the things that make true happiness, I must be blind... "
11,Rock,Black Sabbath,Parano,Make a joke and I will sigh and you will laugh and I will cry. 
12,Rock,Black Sabbath,Parano,Happiness I cannot feel like love to me is so unreal... 
14,Rock,Black Sabbath,Parano,And so as you hear these words telling you now of my state. 
15,Rock,Black Sabbath,Parano,"I tell you to enjoy life, I wish I could but it's too late..."
17,Rock,Nirvana,Smells Like Teen Spirit,Load up on guns and bring your friends
18,Rock,Nirvana,Smells Like Teen Spirit,It's fun to lose and to pretend
19,Rock,Nirvana,Smells Like Teen Spirit,She's over-bored and self-assured
20,Rock,Nirvana,Smells Like Teen Spirit,"Oh no, I know a dirty word"
22,Rock,Nirvana,Smells Like Teen Spirit,"Hello, hello, hello, how low?"
23,Rock,Nirvana,Smells Like Teen Spirit,"Hello, hello, hello, how low?"
24,Rock,Nirvana,Smells Like Teen Spirit,"Hello, hello, hello, how low?"
25,Rock,Nirvana,Smells Like Teen Spirit,"Hello, hello, hello"
27,Rock,Nirvana,Smells Like Teen Spirit,"With the lights out, it's less dangerous"
28,Rock,Nirvana,Smells Like Teen Spirit,"Here we are now, entertain us"
29,Rock,Nirvana,Smells Like Teen Spirit,I feel stupid and contagious
30,Rock,Nirvana,Smells Like Teen Spirit,"Here we are now, entertain us"
32,Rock,Nirvana,Smells Like Teen Spirit,"A mulatto, an albino"
33,Rock,Nirvana,Smells Like Teen Spirit,"A mosquito, my libido"
34,Rock,Nirvana,Smells Like Teen Spirit,"Yeah, hey, yay"
36,Rock,Nirvana,Smells Like Teen Spirit,I'm worse at what I do best
37,Rock,Nirvana,Smells Like Teen Spirit,And for this gift I feel blessed
38,Rock,Nirvana,Smells Like Teen Spirit,Our little group has always been
39,Rock,Nirvana,Smells Like Teen Spirit,And always will until the end
41,Rock,Nirvana,Smells Like Teen Spirit,"Hello, hello, hello, how low?"
42,Rock,Nirvana,Smells Like Teen Spirit,"Hello, hello, hello, how low?"
43,Rock,Nirvana,Smells Like Teen Spirit,"Hello, hello, hello, how low?"
44,Rock,Nirvana,Smells Like Teen Spirit,"Hello, hello, hello"
46,Rock,Nirvana,Smells Like Teen Spirit,"With the lights out, it's less dangerous"
47,Rock,Nirvana,Smells Like Teen Spirit,"Here we are now, entertain us"
48,Rock,Nirvana,Smells Like Teen Spirit,I feel stupid and contagious
49,Rock,Nirvana,Smells Like Teen Spirit,"Here we are now, entertain us"
51,Rock,Nirvana,Smells Like Teen Spirit,"A mulatto, an albino"
52,Rock,Nirvana,Smells Like Teen Spirit,"A mosquito, my libido"
53,Rock,Nirvana,Smells Like Teen Spirit,"Yeah, hey, yay"
55,Rock,Nirvana,Smells Like Teen Spirit,And I forget just why I taste
56,Rock,Nirvana,Smells Like Teen Spirit,"Oh yeah, I guess it makes me smile"
57,Rock,Nirvana,Smells Like Teen Spirit,"I found it hard, it's hard to find"
58,Rock,Nirvana,Smells Like Teen Spirit,"<span class=""iComment"" data-chunk-id=""6047"" href=""http://www.songlyrics.com/annot-6047"">Oh well, whatever, nevermind</span>"
60,Rock,Nirvana,Smells Like Teen Spirit,"Hello, hello, hello, how low?"
61,Rock,Nirvana,Smells Like Teen Spirit,"Hello, hello, hello, how low?"
62,Rock,Nirvana,Smells Like Teen Spirit,"Hello, hello, hello, how low?"
63,Rock,Nirvana,Smells Like Teen Spirit,"Hello, hello, hello"
65,Rock,Nirvana,Smells Like Teen Spirit,"With the lights out, it's less dangerous"
66,Rock,Nirvana,Smells Like Teen Spirit,"Here we are now, entertain us"
67,Rock,Nirvana,Smells Like Teen Spirit,I feel stupid and contagious
68,Rock,Nirvana,Smells Like Teen Spirit,"Here we are now, entertain us"
70,Rock,Nirvana,Smells Like Teen Spirit,"A mulatto, an albino"
71,Rock,Nirvana,Smells Like Teen Spirit,"A mosquito, my libido"
73,Rock,Nirvana,Smells Like Teen Spirit,"A denial, a denial"
74,Rock,Nirvana,Smells Like Teen Spirit,"A denial, a denial"
75,Rock,Nirvana,Smells Like Teen Spirit,"A denial, a denial"
76,Rock,Nirvana,Smells Like Teen Spirit,"A denial, a denial"
77,Rock,Nirvana,Smells Like Teen Spirit,A denial
79,Rock,Santana,Whole Lotta Lo,"You need coolin', baby I'm not foolin'"
80,Rock,Santana,Whole Lotta Lo,I'm gonna send you back to schoolin'
81,Rock,Santana,Whole Lotta Lo,"Way down inside honey, you need it"
82,Rock,Santana,Whole Lotta Lo,I'm gonna give you my love
83,Rock,Santana,Whole Lotta Lo,I'm gonna give you my love
85,Rock,Santana,Whole Lotta Lo,Wanna whole lotta love
86,Rock,Santana,Whole Lotta Lo,Wanna whole lotta love
87,Rock,Santana,Whole Lotta Lo,Wanna whole lotta love
88,Rock,Santana,Whole Lotta Lo,Wanna whole lotta love
89,Rock,Santana,Whole Lotta Lo,Wanna whole lotta love
91,Rock,Santana,Whole Lotta Lo,"You've been learnin', baby I bean learnin'"
92,Rock,Santana,Whole Lotta Lo,"All them good times, baby, baby I've been yearnin'"
93,Rock,Santana,Whole Lotta Lo,"Way, way down inside honey, you need it"
94,Rock,Santana,Whole Lotta Lo,I'm gonna give you my love
95,Rock,Santana,Whole Lotta Lo,I'm gonna give you my love
97,Rock,Santana,Whole Lotta Lo,Wanna whole lotta love
98,Rock,Santana,Whole Lotta Lo,Wanna whole lotta love
99,Rock,Santana,Whole Lotta Lo,Wanna whole lotta love
100,Rock,Santana,Whole Lotta Lo,Wanna whole lotta love
101,Rock,Santana,Whole Lotta Lo,Wanna whole lotta love
103,Rock,Santana,Whole Lotta Lo,"You've been coolin', baby I've been droolin'"
104,Rock,Santana,Whole Lotta Lo,"All the good times, baby I've been misusin'"
105,Rock,Santana,Whole Lotta Lo,"Way, way down inside, I'm gonna give you my love"
106,Rock,Santana,Whole Lotta Lo,I'm gonna give you every inch of my love
107,Rock,Santana,Whole Lotta Lo,Gonna give you my love
109,Rock,Santana,Whole Lotta Lo,Wanna whole lotta love
110,Rock,Santana,Whole Lotta Lo,Wanna whole lotta love
111,Rock,Santana,Whole Lotta Lo,Wanna whole lotta love
112,Rock,Santana,Whole Lotta Lo,Wanna whole lotta love
114,Rock,Santana,Whole Lotta Lo,"Way, way down inside, woman you need love"
116,Rock,Santana,Whole Lotta Lo,"Shake for me, girl"
117,Rock,Santana,Whole Lotta Lo,I wanna be your back door man
118,Rock,Santana,Whole Lotta Lo,"Keep it coolin', baby"
119,Rock,Santana,Whole Lotta Lo,"Keep it coolin', baby"
120,Rock,Santana,Whole Lotta Lo,"Keep it coolin', baby"
122,Rock,Aerosmith,Walk This Way [Liv,"Backstroker, lover always hidin' 'neath the covers"
123,Rock,Aerosmith,Walk This Way [Liv,'Till you talked to my daddy he say
124,Rock,Aerosmith,Walk This Way [Liv,He said you ain't seen nothin' 'till you're down on a muffin
125,Rock,Aerosmith,Walk This Way [Liv,Then you're sure to be a changin' your way
127,Rock,Aerosmith,Walk This Way [Liv,I met a cheerleader was a real young bleeder
128,Rock,Aerosmith,Walk This Way [Liv,Oh the times I could reminisce
129,Rock,Aerosmith,Walk This Way [Liv,Oh the best thing a lover wit her sister and her cousin
130,Rock,Aerosmith,Walk This Way [Liv,"Started with a little kiss, like this"
132,Rock,Aerosmith,Walk This Way [Liv,Seesaw swingin' with the boys in the school
133,Rock,Aerosmith,Walk This Way [Liv,With your feet flyin' up in the air
134,Rock,Aerosmith,Walk This Way [Liv,Singin' hey diddle diddle
135,Rock,Aerosmith,Walk This Way [Liv,With your kitty in the middle of the swing like I didn't care
137,Rock,Aerosmith,Walk This Way [Liv,So I took a big chance at the high school dance
138,Rock,Aerosmith,Walk This Way [Liv,Missy who was ready to play
139,Rock,Aerosmith,Walk This Way [Liv,Wasn't me she was foolin' she knew what she was doin'
140,Rock,Aerosmith,Walk This Way [Liv,"Told me how to walk this way, told me to"
142,Rock,Aerosmith,Walk This Way [Liv,"Walk this way, talk this way"
143,Rock,Aerosmith,Walk This Way [Liv,"Walk this way, talk this way"
144,Rock,Aerosmith,Walk This Way [Liv,She told me to
145,Rock,Aerosmith,Walk This Way [Liv,"Walk this way, talk this way"
146,Rock,Aerosmith,Walk This Way [Liv,"Walk this way, talk this way"
148,Rock,Aerosmith,Walk This Way [Liv,Well just gimme a
149,Rock,Aerosmith,Walk This Way [Liv,Like this
